,MKT,SMB,HML,RMW,CMA
1963-07-31,-0.0067,0.0002,-0.0034999999999999996,0.0003,0.0013
1963-08-31,-0.0008,-0.0012,-0.0013,0.0013,-0.0008
1963-09-30,0.0023,0.0007000000000000001,0.0007000000000000001,-0.0001,0.0017000000000000001
1963-10-31,0.006500000000000001,-0.0021,0.0025,-0.0006,-0.0023
1963-11-30,-0.0018,0.0026,0.0021,-0.0022,0.0014000000000000002
1963-12-31,0.0053,-0.0034000000000000002,-0.0019,0.0045000000000000005,-0.0028000000000000004
1964-01-31,0.006,0.006500000000000001,0.005699999999999999,-0.004,0.0017000000000000001
1964-02-29,0.0,0.0002,0.0005,-0.003,0.001
1964-03-31,0.0022,0.0,0.0034000000000000002,-0.002,0.0014000000000000002
1964-04-30,0.0034000000000000002,0.0025,0.0067,-0.001,0.0012
1964-05-31,0.0078000000000000005,-0.0019,0.0032,0.0003,-0.0019
1964-06-30,-0.0034999999999999996,0.0004,0.0002,-0.0015,0.0012
1964-07-31,0.0062,-0.0015,0.0037,-0.0025,-0.0007000000000000001
1964-08-31,-0.0024,-0.0024,0.0024,0.0004,-0.0001
1964-09-30,0.0046,-0.0015,0.0055000000000000005,0.0008,0.0004
1964-10-31,-0.0014000000000000002,0.001,0.0012,0.0024,-0.0019
1964-11-30,0.0043,-0.0015,-0.0028000000000000004,0.0038,-0.001
1964-12-31,-0.01,0.0014000000000000002,-0.002,0.0034999999999999996,0.0017000000000000001
1965-01-31,-0.0045000000000000005,0.006500000000000001,-0.0008,-0.0018,0.0031
1965-02-28,0.0003,0.001,-0.0008,-0.0005,0.0028000000000000004
1965-03-31,-0.0014000000000000002,0.0044,0.0003,0.0021,0.0007000000000000001
1965-04-30,0.0016,0.0006,-0.0018,0.0011,-0.002
1965-05-31,0.0008,-0.003,-0.0016,0.0011,-0.0007000000000000001
1965-06-30,-0.006999999999999999,0.0004,0.002,-0.0007000000000000001,0.0011
1965-07-31,0.0046,0.0029,0.0002,-0.0023,0.0022
1965-08-31,0.002,0.0002,-0.0037,0.0005,-0.0005
1965-09-30,0.0005,0.0001,-0.0021,-0.0006,-0.0006
1965-10-31,-0.0006,0.002,0.0009,-0.0063,0.0011
1965-11-30,-0.001,0.0004,0.0023,0.0011,-0.0022
1965-12-31,-0.0003,0.0037,0.0028000000000000004,-0.0032,-0.0024
1966-01-31,-0.0022,0.0072,0.0029,-0.0044,0.0021
1966-02-28,-0.008100000000000001,-0.0088,-0.0042,0.006999999999999999,-0.0014000000000000002
1966-03-31,-0.0129,-0.0018,-0.0021,0.0036,0.0021
1966-04-30,0.0076,-0.0014000000000000002,0.0022,-0.0014000000000000002,0.0012
1966-05-31,-0.0011,-0.0006,-0.0016,0.0054,-0.004
1966-06-30,-0.0001,-0.0008,-0.0018,-0.0009,0.0034999999999999996
1966-07-31,0.009899999999999999,0.0014000000000000002,-0.0021,0.0002,-0.0012
1966-08-31,-0.015300000000000001,-0.0025,0.003,-0.001,0.0042
1966-09-30,0.0066,-0.0034999999999999996,-0.0004,-0.0049,0.0059
1966-10-31,-0.0217,-0.0022,0.012199999999999999,-0.0103,0.0125
1966-11-30,0.0084,-0.0005,-0.004,0.0088,-0.0060999999999999995
1966-12-31,-0.0039000000000000003,0.0034000000000000002,-0.0017000000000000001,0.0009,0.0018
1967-01-31,0.0008,0.0111,0.0068000000000000005,0.0019,0.0038
1967-02-28,-0.0015,0.0033,0.0004,-0.0001,-0.0032
1967-03-31,0.0098,0.001,0.0004,-0.0014000000000000002,-0.0039000000000000003
1967-04-30,-0.0113,-0.0025,0.0021,-0.0053,0.0086
